customer_id,Node1,Node2,Node3,Node4,Node5,Node6,Node7,Node8,Node9,Node10,Node11,Node12,Node13,Node14,Node15,customer_type,Node17,Node18,Node19,Node20,target_control,outcome,train_test
1,Value4,Value1,Value2,Value2,Value2,Value4,Value2,Value4,Value4,Value4,Value2,Value3,Value2,Value3,Value3,persuadable,Value2,Value2,Value3,Value1,control,0,train
2,Value2,Value1,Value1,Value2,Value3,Value4,Value2,Value2,Value4,Value3,Value1,Value2,Value3,Value1,Value1,sleeping_dog,Value3,Value3,Value1,Value4,control,1,test
3,Value2,Value2,Value1,Value3,Value2,Value1,Value2,Value4,Value3,Value3,Value3,Value2,Value3,Value2,Value3,lost_cause,Value2,Value3,Value2,Value4,target,0,train
4,Value3,Value1,Value1,Value2,Value3,Value4,Value4,Value1,Value4,Value3,Value3,Value2,Value3,Value2,Value1,persuadable,Value2,Value3,Value1,Value4,control,0,train
5,Value4,Value1,Value1,Value3,Value2,Value1,Value2,Value4,Value3,Value4,Value3,Value3,Value2,Value3,Value2,sleeping_dog,Value1,Value3,Value2,Value4,control,1,train
6,Value4,Value1,Value1,Value2,Value2,Value1,Value2,Value4,Value4,Value3,Value4,Value1,Value2,Value4,Value4,sleeping_dog,Value1,Value3,Value2,Value3,control,1,train
7,Value1,Value1,Value1,Value2,Value1,Value2,Value2,Value4,Value1,Value1,Value3,Value1,Value3,Value3,Value1,sleeping_dog,Value4,Value4,Value1,Value2,control,1,train
8,Value2,Value1,Value1,Value2,Value4,Value2,Value4,Value1,Value4,Value3,Value4,Value2,Value4,Value1,Value4,sure_thing,Value1,Value1,Value1,Value2,target,1,train
9,Value4,Value1,Value4,Value2,Value2,Value1,Value4,Value4,Value3,Value4,Value3,Value2,Value3,Value1,Value3,sure_thing,Value3,Value1,Value3,Value3,target,1,test
10,Value2,Value1,Value4,Value2,Value4,Value2,Value2,Value4,Value2,Value2,Value3,Value3,Value1,Value1,Value4,sure_thing,Value2,Value1,Value3,Value2,control,1,train
11,Value2,Value2,Value4,Value2,Value1,Value2,Value4,Value3,Value3,Value3,Value3,Value4,Value4,Value4,Value1,sleeping_dog,Value4,Value4,Value2,Value4,target,0,train
12,Value4,Value3,Value4,Value4,Value4,Value2,Value1,Value3,Value4,Value3,Value3,Value2,Value3,Value3,Value4,persuadable,Value4,Value4,Value1,Value4,target,1,train
13,Value4,Value1,Value1,Value4,Value1,Value4,Value4,Value4,Value2,Value3,Value4,Value4,Value2,Value2,Value4,sleeping_dog,Value3,Value2,Value3,Value4,control,1,train
14,Value2,Value1,Value1,Value3,Value2,Value1,Value3,Value1,Value3,Value4,Value3,Value4,Value1,Value2,Value4,sure_thing,Value2,Value3,Value2,Value2,control,1,train
15,Value1,Value1,Value2,Value4,Value3,Value1,Value4,Value2,Value2,Value2,Value3,Value4,Value3,Value1,Value1,sure_thing,Value4,Value4,Value1,Value3,target,1,train
16,Value2,Value2,Value1,Value2,Value1,Value4,Value1,Value4,Value4,Value2,Value2,Value3,Value3,Value2,Value4,lost_cause,Value2,Value1,Value2,Value1,target,0,train
17,Value4,Value3,Value2,Value2,Value2,Value1,Value4,Value2,Value3,Value3,Value1,Value3,Value2,Value2,Value4,sleeping_dog,Value1,Value2,Value4,Value1,control,1,train
18,Value4,Value1,Value1,Value4,Value2,Value1,Value1,Value2,Value2,Value3,Value3,Value2,Value3,Value3,Value3,sure_thing,Value4,Value1,Value3,Value4,target,1,test
19,Value2,Value3,Value2,Value4,Value2,Value4,Value1,Value3,Value2,Value4,Value2,Value4,Value2,Value4,Value2,lost_cause,Value4,Value4,Value3,Value1,target,0,train
20,Value2,Value3,Value1,Value4,Value1,Value3,Value4,Value1,Value2,Value3,Value4,Value3,Value3,Value1,Value4,lost_cause,Value1,Value3,Value2,Value4,target,0,train
21,Value3,Value3,Value4,Value4,Value2,Value1,Value1,Value3,Value2,Value3,Value1,Value1,Value3,Value4,Value2,sure_thing,Value2,Value1,Value4,Value2,control,1,train
22,Value4,Value3,Value2,Value3,Value2,Value4,Value4,Value3,Value3,Value4,Value2,Value3,Value3,Value2,Value2,sleeping_dog,Value4,Value1,Value1,Value4,target,0,train
23,Value2,Value3,Value3,Value4,Value1,Value3,Value4,Value1,Value3,Value1,Value3,Value3,Value3,Value3,Value4,lost_cause,Value1,Value1,Value2,Value2,target,0,test
24,Value2,Value3,Value2,Value4,Value4,Value2,Value1,Value3,Value3,Value4,Value2,Value1,Value2,Value2,Value4,sleeping_dog,Value1,Value3,Value2,Value4,target,0,train
25,Value2,Value3,Value1,Value2,Value4,Value3,Value1,Value2,Value3,Value2,Value2,Value2,Value3,Value4,Value4,persuadable,Value3,Value2,Value3,Value1,control,0,train
26,Value3,Value3,Value1,Value2,Value3,Value4,Value2,Value3,Value3,Value3,Value2,Value3,Value2,Value4,Value1,sleeping_dog,Value1,Value2,Value2,Value1,control,1,train
27,Value2,Value3,Value4,Value2,Value4,Value4,Value2,Value2,Value4,Value4,Value1,Value3,Value2,Value3,Value3,sure_thing,Value1,Value3,Value2,Value1,control,1,train
28,Value2,Value1,Value2,Value4,Value4,Value2,Value4,Value3,Value4,Value3,Value4,Value1,Value3,Value1,Value4,lost_cause,Value2,Value4,Value4,Value3,control,0,test
